redshift,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_total_sfrd,popiii_fraction_of_total_sfrd,j21_lw_popii,j21_lw_popiii,j21_lw_total,mmol_no_feedback_msun,mmol_lw_only_msun,mmol_lw_vcb_mean_msun,matom_msun,popiii_sfrd_peak_halo_mass_msun,popiii_sfrd_p16_halo_mass_msun,popiii_sfrd_median_halo_mass_msun,popiii_sfrd_p84_halo_mass_msun,popiii_sfr_fraction_90pct_halo_mass_msun,popiii_sfr_fraction_50pct_halo_mass_msun,popiii_sfr_fraction_10pct_halo_mass_msun
1.345421058695e+01,4.119774050076e-03,5.323016656091e-04,8.855776005936e-01,1.144223994064e-01,3.965998491255e+00,1.192056042863e+00,5.158054534118e+00,6.005129442828e+05,3.814498543888e+06,1.235910332033e+07,5.778981648252e+07,1.567191080378e+07,8.318448258925e+06,2.064819379116e+07,5.354902559400e+07,1.593891697685e+07,3.389147091634e+07,8.662003907553e+07
1.367782399867e+01,3.734817429529e-03,5.279758956800e-04,8.761432104724e-01,1.238567895276e-01,3.667965279516e+00,1.206886147900e+00,4.874851427417e+00,5.868423211551e+05,3.623027474797e+06,1.173852965670e+07,5.647423651163e+07,1.567191080378e+07,7.865095217542e+06,1.970308543709e+07,5.112650433481e+07,1.571893784319e+07,3.341794025525e+07,8.516303000196e+07
1.390515393896e+01,3.374913141025e-03,5.224500278542e-04,8.659478203043e-01,1.340521796957e-01,3.384047815265e+00,1.219623287879e+00,4.603671103145e+00,5.734680691271e+05,3.440297210092e+06,1.114541162508e+07,5.518717754372e+07,1.567191080378e+07,7.458643172349e+06,1.878443851390e+07,4.865636790139e+07,1.550139190085e+07,3.294544500721e+07,8.373598896624e+07
1.413626217773e+01,3.045851565851e-03,5.163937031524e-04,8.550370162196e-01,1.449629837804e-01,3.114009251522e+00,1.230013882050e+00,4.344023133572e+00,5.603843233348e+05,3.265907450861e+06,1.058162373002e+07,5.392807517892e+07,1.567191080378e+07,7.092500193806e+06,1.789356517219e+07,4.615093314186e+07,1.527985358128e+07,3.247397945468e+07,8.232008836111e+07
1.437121151156e+01,2.739480927227e-03,5.091490008898e-04,8.432726989051e-01,1.567273010949e-01,2.858267980694e+00,1.238022881302e+00,4.096290861997e+00,5.475853139307e+05,3.099794453911e+06,1.004355050530e+07,5.269637416121e+07,1.567191080378e+07,6.757586656158e+06,1.702229745766e+07,4.359728139812e+07,1.506128290538e+07,3.200506824501e+07,8.091692010689e+07
1.461006578071e+01,2.457147311246e-03,5.008979987572e-04,8.306658802476e-01,1.693341197524e-01,2.616671143253e+00,1.243508671104e+00,3.860179814358e+00,5.350653653487e+05,2.941651205110e+06,9.530309363958e+06,5.149152830765e+07,1.567191080378e+07,6.448395000553e+06,1.616794965614e+07,4.180912797028e+07,1.484293497974e+07,3.153783037401e+07,7.953061980229e+07
1.485288988649e+01,2.200238017047e-03,4.920618350304e-04,8.172336433289e-01,1.827663566711e-01,2.388974110567e+00,1.246304135312e+00,3.635278245878e+00,5.228188955402e+05,2.791136511254e+06,9.043185061845e+06,5.031300043489e+07,1.567191080378e+07,6.161522915379e+06,1.534424064024e+07,4.023316714238e+07,1.462327045487e+07,3.107279112189e+07,7.817030707156e+07
1.509974980889e+01,1.963093232389e-03,4.820813032540e-04,8.028438067603e-01,1.971561932397e-01,2.175146258350e+00,1.246397417447e+00,3.421543675797e+00,5.108404151837e+05,2.648056813362e+06,8.580014268850e+06,4.916026228306e+07,1.567191080378e+07,5.892057419441e+06,1.457676389023e+07,3.865297945449e+07,1.440620314369e+07,3.060995240892e+07,7.682270377313e+07
1.535071262452e+01,1.746742560730e-03,4.712424352568e-04,7.875357876138e-01,2.124642123862e-01,1.974777572999e+00,1.243647230897e+00,3.218424803896e+00,4.991245268691e+05,2.512037167581e+06,8.138826222595e+06,4.803279443732e+07,1.567191080378e+07,5.596469213113e+06,1.385166233340e+07,3.706580850661e+07,1.418869633360e+07,3.014948464860e+07,7.548865941216e+07
1.560584652481e+01,1.551165415771e-03,4.598738216780e-04,7.713252863921e-01,2.286747136079e-01,1.787533843874e+00,1.237958756212e+00,3.025492600085e+00,4.876659242583e+05,2.382756897363e+06,7.719776107071e+06,4.693008624705e+07,9.453872831308e+06,5.229883478776e+06,1.316376309951e+07,3.546960308944e+07,1.397143570209e+07,2.969236906103e+07,7.416964558389e+07
1.586522083456e+01,1.371765381425e-03,4.473867495233e-04,7.540685345045e-01,2.459314654955e-01,1.613184571295e+00,1.229351071063e+00,2.842535642358e+00,4.764593912244e+05,2.259985365560e+06,7.322627718387e+06,4.585163574303e+07,9.453872831308e+06,4.911886931815e+06,1.250669512312e+07,3.385727451185e+07,1.375656387038e+07,2.923756694869e+07,7.287793359668e+07
1.612890603078e+01,1.210157293186e-03,4.343260505963e-04,7.358890546150e-01,2.641109453850e-01,1.451297560296e+00,1.217758278678e+00,2.669055838974e+00,4.654998009704e+05,2.143392139911e+06,6.944712957103e+06,4.479694955261e+07,9.453872831308e+06,4.631824317929e+06,1.187530376067e+07,3.222547979639e+07,1.354184393505e+07,2.878576819853e+07,7.160003832245e+07
