redshift,halo_mass_lower_msun,halo_mass_upper_msun,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_bin_sfr,popiii_fraction_of_bin_sfr,bin_fraction_of_total_sfrd
1.033516894142e+01,1.000000000000e+10,1.000000000000e+14,2.808184318762e-03,6.625108952266e-42,1.000000000000e+00,2.359214424781e-39,1.812982314423e-01
1.050694285360e+01,1.000000000000e+05,1.000000000000e+06,2.043443180519e-33,1.160454242572e-13,1.760899400903e-20,1.000000000000e+00,7.993857537864e-12
1.050694285360e+01,1.000000000000e+06,1.000000000000e+07,7.914514907943e-08,2.263759738843e-05,3.484000795833e-03,9.965159992042e-01,1.564856216707e-03
1.050694285360e+01,1.000000000000e+07,1.000000000000e+08,6.057608153784e-04,4.115755768267e-04,5.954380675063e-01,4.045619324937e-01,7.007981779058e-02
1.050694285360e+01,1.000000000000e+08,1.000000000000e+09,4.781760265647e-03,7.200713452760e-05,9.851646919618e-01,1.483530803825e-02,3.343546319667e-01
1.050694285360e+01,1.000000000000e+09,1.000000000000e+10,6.182289987100e-03,7.218162851657e-10,9.999998832445e-01,1.167554744918e-07,4.258707441598e-01
1.050694285360e+01,1.000000000000e+10,1.000000000000e+14,2.440712918540e-03,9.476713014947e-43,1.000000000000e+00,3.882764311591e-40,1.681299498582e-01
1.068157170477e+01,1.000000000000e+05,1.000000000000e+06,8.825528333179e-33,2.861498620899e-13,3.084232950078e-20,1.000000000000e+00,2.102645473839e-11
1.068157170477e+01,1.000000000000e+06,1.000000000000e+07,9.396271053132e-08,2.595740575088e-05,3.606824365887e-03,9.963931756341e-01,1.914269382576e-03
1.068157170477e+01,1.000000000000e+07,1.000000000000e+08,6.141870689709e-04,4.183455163199e-04,5.948355313144e-01,4.051644686856e-01,7.587108206857e-02
1.068157170477e+01,1.000000000000e+08,1.000000000000e+09,4.631978397717e-03,6.802363324566e-05,9.855268927976e-01,1.447310720241e-02,3.453588244028e-01
1.068157170477e+01,1.000000000000e+09,1.000000000000e+10,5.733658142212e-03,5.344191880507e-10,9.999999067926e-01,9.320735994084e-08,4.213125030677e-01
1.068157170477e+01,1.000000000000e+10,1.000000000000e+14,2.116795266884e-03,1.292838693173e-43,1.000000000000e+00,6.107528268787e-41,1.555433210574e-01
1.085910294498e+01,1.000000000000e+05,1.000000000000e+06,3.690452172838e-32,6.853035245384e-13,5.385135258605e-20,1.000000000000e+00,5.390251642242e-11
1.085910294498e+01,1.000000000000e+06,1.000000000000e+07,1.110173121513e-07,2.962038266190e-05,3.734008901303e-03,9.962659910987e-01,2.338521863640e-03
1.085910294498e+01,1.000000000000e+07,1.000000000000e+08,6.205618231476e-04,4.238616540808e-04,5.941668649525e-01,4.058331350475e-01,8.214907937499e-02
1.085910294498e+01,1.000000000000e+08,1.000000000000e+09,4.468083678118e-03,6.398465576964e-05,9.858817980984e-01,1.411820190159e-02,3.564696211937e-01
1.085910294498e+01,1.000000000000e+09,1.000000000000e+10,5.286626255390e-03,3.913529163233e-10,9.999999259730e-01,7.402696321754e-08,4.158193697270e-01
1.085910294498e+01,1.000000000000e+10,1.000000000000e+14,1.820907680515e-03,1.672349922325e-44,1.000000000000e+00,9.184155463896e-42,1.432234077868e-01
1.103958481287e+01,1.000000000000e+05,1.000000000000e+06,1.497122841901e-31,1.595469384664e-12,9.383588656051e-20,1.000000000000e+00,1.342562260986e-10
1.103958481287e+01,1.000000000000e+06,1.000000000000e+07,1.307715846884e-07,3.369384131201e-05,3.866166483200e-03,9.961338335168e-01,2.846287694647e-03
1.103958481287e+01,1.000000000000e+07,1.000000000000e+08,6.262763244535e-04,4.289630655952e-04,5.934921785137e-01,4.065078214863e-01,8.879672621754e-02
1.103958481287e+01,1.000000000000e+08,1.000000000000e+09,4.304813174621e-03,6.007965545931e-05,9.862357089170e-01,1.376429108299e-02,3.672988302528e-01
1.103958481287e+01,1.000000000000e+09,1.000000000000e+10,4.866459760298e-03,2.843739986787e-10,9.999999415645e-01,5.843549439803e-08,4.095049183252e-01
1.103958481287e+01,1.000000000000e+10,1.000000000000e+14,1.563347703011e-03,2.058738309198e-45,1.000000000000e+00,1.316878072122e-42,1.315532373756e-01
1.122306634886e+01,1.000000000000e+05,1.000000000000e+06,5.886484283477e-31,3.607154078610e-12,1.631891556389e-19,1.000000000000e+00,3.258399260417e-10
1.122306634886e+01,1.000000000000e+06,1.000000000000e+07,1.532762187446e-07,3.813788017883e-05,4.002914332310e-03,9.959970856677e-01,3.458900644866e-03
1.122306634886e+01,1.000000000000e+07,1.000000000000e+08,6.297871203322e-04,4.326658246035e-04,5.927670710822e-01,4.072329289178e-01,9.597305284337e-02
1.122306634886e+01,1.000000000000e+08,1.000000000000e+09,4.129597000795e-03,5.616223303107e-05,9.865825457477e-01,1.341745425232e-02,3.781062437188e-01
1.122306634886e+01,1.000000000000e+09,1.000000000000e+10,4.452851669351e-03,2.042800044802e-10,9.999999541238e-01,4.587621827034e-08,4.022331437912e-01
1.122306634886e+01,1.000000000000e+10,1.000000000000e+14,1.330970399414e-03,2.396898127896e-46,1.000000000000e+00,1.800865089826e-43,1.202286586759e-01
1.140959740842e+01,1.000000000000e+05,1.000000000000e+06,2.247573998161e-30,7.905587203085e-12,2.843019677633e-19,1.000000000000e+00,7.663464004113e-10
1.140959740842e+01,1.000000000000e+06,1.000000000000e+07,1.790701319297e-07,4.300374608469e-05,4.146791423500e-03,9.958532085765e-01,4.186026277000e-03
1.140959740842e+01,1.000000000000e+07,1.000000000000e+08,6.324557161896e-04,4.357328814813e-04,5.920824445876e-01,4.079175554124e-01,1.035473350374e-01
1.140959740842e+01,1.000000000000e+08,1.000000000000e+09,3.955674322381e-03,5.239188111362e-05,9.869283892896e-01,1.307161071041e-02,3.885311778560e-01
1.140959740842e+01,1.000000000000e+09,1.000000000000e+10,4.066207311249e-03,1.455150635638e-10,9.999999642136e-01,3.578643370044e-08,3.941672348641e-01
